S.No.,College Name,Program,UR,OBC-NCL,SC,ST,EWS,Sikh,Christian,PwBD,CW,KM,CourseCode,isGirls,isEvening
1,Acharya Narendra Dev College,B.Com. (Hons.),50,34,19,9,13,0,0,6,6,6,BcomH,No,No
2,Acharya Narendra Dev College,B.Sc. (Hons.) Biomedical Sciences,26,17,9,5,6,0,0,3,3,3,BScBioMed,No,No
3,Acharya Narendra Dev College,B.Sc. (Hons.) Botany,26,17,9,5,6,0,0,3,3,3,BScBot,No,No
4,Acharya Narendra Dev College,B.Sc. (Hons.) Chemistry,26,17,9,5,6,0,0,3,3,3,BScChem,No,No
5,Acharya Narendra Dev College,B.Sc. (Hons.) Computer Science,26,17,9,5,6,0,0,3,3,3,BScCS,No,No
6,Acharya Narendra Dev College,B.Sc. (Hons.) Electronics,26,17,9,5,6,0,0,3,3,3,BScElec,No,No
7,Acharya Narendra Dev College,B.Sc. (Hons.) Mathematics,26,17,9,5,6,0,0,3,3,3,BScMath,No,No
8,Acharya Narendra Dev College,B.Sc. (Hons.) Physics,26,17,9,5,6,0,0,3,3,3,BScPhy,No,No
9,Acharya Narendra Dev College,B.Sc. (Hons.) Zoology,26,17,9,5,6,0,0,3,3,3,BScZoo,No,No
10,Acharya Narendra Dev College,B.Sc. (Prog.) Life Science,23,15,8,4,6,0,0,3,3,3,BScProgLS,No,No
11,Acharya Narendra Dev College,B.Sc. (Prog.) Physical Science with Chemistry,23,15,8,4,6,0,0,3,3,3,BScPSwChem,No,No
12,Acharya Narendra Dev College,B.Sc. (Prog.) Physical Science with Computer Science/Informatics Practices,23,15,8,4,6,0,0,3,3,3,BScPSwCSIP,No,No
13,Acharya Narendra Dev College,B.Sc. (Prog.) Physical Science with Electronics,23,15,8,4,6,0,0,3,3,3,BScPSwElec,No,No
14,Aditi Mahavidyalaya (W),"B.A Program (Advertising, Sales Promotion and Sales Management (ASPSM) + Economics)",10,6,4,2,3,0,0,1,1,1,BAP,Yes,No
15,Aditi Mahavidyalaya (W),"B.A Program (Advertising, Sales Promotion and Sales Management (ASPSM) + Mathematics)",20,12,8,4,6,0,0,3,3,3,BAP,Yes,No
16,Aditi Mahavidyalaya (W),B.A Program (Economics + Food Technology),10,6,4,2,3,0,0,1,1,1,BAP,Yes,No
17,Aditi Mahavidyalaya (W),B.A Program (Economics + Mathematics),5,3,2,1,2,0,0,1,1,1,BAP,Yes,No
18,Aditi Mahavidyalaya (W),B.A Program (Economics + Psychology),10,6,4,2,3,0,0,1,1,1,BAP,Yes,No
19,Aditi Mahavidyalaya (W),B.A Program (Education + Geography),10,6,4,2,3,0,0,1,1,1,BAP,Yes,No
20,Aditi Mahavidyalaya (W),B.A Program (Education + Human Development and Family Empowerment (HDFE)),8,4,3,2,2,0,0,1,1,1,BAP,Yes,No
21,Aditi Mahavidyalaya (W),B.A Program (Education + Political Science),17,12,7,3,4,0,0,1,1,1,BAP,Yes,No
22,Aditi Mahavidyalaya (W),B.A Program (Food Technology (FT) + Geography),13,10,4,2,2,0,0,1,1,1,BAP,Yes,No
23,Aditi Mahavidyalaya (W),B.A Program (Geography + History),13,10,4,2,2,0,0,2,2,2,BAP,Yes,No
24,Aditi Mahavidyalaya (W),B.A Program (Hindi + NHE),10,6,4,2,3,0,0,1,1,1,BAP,Yes,No
25,Aditi Mahavidyalaya (W),B.A Program (Hindi + OMSP),9,6,3,2,2,0,0,1,1,1,BAP,Yes,No
26,Aditi Mahavidyalaya (W),B.A Program (Hindi + Political Science),13,10,4,2,2,0,0,2,2,2,BAP,Yes,No
27,Aditi Mahavidyalaya (W),B.A Program (Human Development and Family Empowerment (HDFE) + Political Science),15,11,6,2,4,0,0,1,1,1,BAP,Yes,No
28,Aditi Mahavidyalaya (W),B.A Program (Mathematics + Psychology),13,10,4,2,2,0,0,2,2,2,BAP,Yes,No
29,Aditi Mahavidyalaya (W),B.A Program (Music + Sociology),13,10,4,2,2,0,0,2,2,2,BAP,Yes,No
30,Aditi Mahavidyalaya (W),B.A Program (NHE + Sociology),13,9,4,2,3,0,0,2,2,2,BAP,Yes,No
31,Aditi Mahavidyalaya (W),B.A Program (Office Management & Secretarial Practice (OMSP) + Sociology),15,11,6,2,4,0,0,2,2,2,BAP,Yes,No
32,Aditi Mahavidyalaya (W),B.A Program (Political Science + Sociology),20,12,8,4,6,0,0,3,3,3,BAP,Yes,No
33,Aditi Mahavidyalaya (W),B.A Program (Sanskrit + History),20,12,8,4,6,0,0,3,3,3,BAP,Yes,No
34,Aditi Mahavidyalaya (W),B.A Program (Sanskrit + Music),8,4,3,2,2,0,0,1,1,1,BAP,Yes,No
35,Aditi Mahavidyalaya (W),B.A Program (Sanskrit + Political Science),7,5,3,2,2,0,0,1,1,1,BAP,Yes,No
36,Aditi Mahavidyalaya (W),B.A. (Hons.) Geography,16,10,6,3,4,0,0,2,2,2,BAGeo,Yes,No
